Heritage Pointe of Warren																		
Main Buildings																		
						Fahl Building - Acct # 32531 00     (Rate 17)												
Mar-23	04/01/2023	04/15/2023	02/15/2023	03/15/2023		55,639 	55,977 	338 	300 	101,400 		$17,678.08 	$0.00 	$17,678.08 		$0.174 	$0.000 	$0.174 
Apr-23	05/01/2023	05/15/2023	03/15/2023	04/15/2023		55,977 	56,343 	366 	300 	109,800 		$18,443.59 	$0.00 	$18,443.59 		$0.168 	$0.000 	$0.168 
May-23	06/01/2023	06/15/2023	04/15/2023	05/15/2023		56,343 	56,801 	458 	300 	137,400 		$18,481.51 	$0.00 	$18,481.51 		$0.135 	$0.000 	$0.135 
Jun-23	07/01/2023	07/15/2023	05/15/2023	06/15/2023		56,801 	57,342 	541 	300 	162,300 		$18,078.61 	$0.00 	$18,078.61 		$0.111 	$0.000 	$0.111 
Jul-23	08/01/2023	08/15/2023	06/20/2023	07/14/2023		57,342 	57,958 	616 	300 	184,800 		$18,216.07 	$0.00 	$18,216.07 		$0.099 	$0.000 	$0.099 
Aug-23	09/01/2023	09/15/2023	07/14/2023	08/15/2023		57,958 	58,667 	709 	300 	212,700 		$18,557.35 	$0.00 	$18,557.35 		$0.087 	$0.000 	$0.087 
Sep-23	10/01/2023	10/15/2023	08/15/2023	09/15/2023		58,667 	59,310 	643 	300 	192,900 		$19,230.43 	$0.00 	$19,230.43 		$0.100 	$0.000 	$0.100 
Oct-23	11/01/2023	11/15/2023	09/15/2023	10/16/2023		59,310 	59,849 	539 	300 	162,842 		$17,981.44 	$0.00 	$17,981.44 		$0.110 	$0.000 	$0.110 
Nov-23	12/01/2023	12/15/2023	10/16/2023	11/15/2023		59,849 	60,226 	377 	300 	113,100 		$17,822.64 	$0.00 	$17,822.64 		$0.158 	$0.000 	$0.158 
Dec-23	01/01/2024	01/15/2024	11/15/2023	12/15/2023		60,226 	60,579 	353 	300 	105,900 		$17,648.22 	$0.00 	$17,648.22 		$0.167 	$0.000 	$0.167 
Jan-24	02/01/2024	02/15/2024	12/15/2023	01/15/2024		60,579 	60,953 	374 	300 	112,200 		$17,648.22 	$0.00 	$17,648.22 		$0.157 	$0.000 	$0.157 
Feb-24	03/01/2024	03/15/2024	01/15/2024	02/15/2024		60,953 	61,326 	373 	300 	111,900 		$20,856.85 	$0.00 	$20,856.85 		$0.186 	$0.000 	$0.186 
Mar-24	04/01/2024	04/15/2024	02/15/2024	03/15/2024		61,326 	61,651 	325 	300 	97,500 		$17,060.72 	$0.00 	$17,060.72 		$0.175 	$0.000 	$0.175 
Apr-24	05/01/2024	05/15/2024	03/15/2024	04/15/2024		61,651 	61,970 	319 	300 	95,700 		$16,789.57 	$0.00 	$16,789.57 		$0.175 	$0.000 	$0.175 
May-24	06/01/2024	06/15/2024	04/15/2024	05/15/2024		61,970 	62,432 	462 	300 	138,600 		$17,115.68 	$0.00 	$17,115.68 		$0.123 	$0.000 	$0.123 
Jun-24	07/01/2024	07/15/2024	05/15/2024	06/14/2024		62,432 	63,003 	571 	300 	171,300 		$17,381.12 	$0.00 	$17,381.12 		$0.101 	$0.000 	$0.101 
Jul-24	08/01/2024	08/15/2024	06/14/2024	07/15/2024		63,003 	63,683 	680 	300 	204,000 		$18,490.28 	$0.00 	$18,490.28 		$0.091 	$0.000 	$0.091 
Aug-24	09/01/2024	09/15/2024	07/15/2024	08/15/2024		63,683 	64,295 	612 	300 	183,600 		$18,231.95 	$0.00 	$18,231.95 		$0.099 	$0.000 	$0.099 
Sep-24	10/01/2024	10/15/2024	08/15/2024	09/13/2024		64,295 	64,797 	502 	300 	150,600 		$17,994.95 	$0.00 	$17,994.95 		$0.119 	$0.000 	$0.119 
Oct-24	11/01/2024	11/15/2024	09/13/2024	10/15/2024		64,797 	65,313 	516 	300 	154,800 		$17,205.74 	$0.00 	$17,205.74 		$0.111 	$0.000 	$0.111 
Nov-24	12/01/2024	12/15/2024	10/15/2024	11/15/2024		65,313 	65,750 	437 	300 	131,100 		$24,978.12 	$0.00 	$24,978.12 		$0.191 	$0.000 	$0.191 
Dec-24	01/01/2025	01/15/2025	11/15/2024	12/16/2024		65,750 	66,075 	325 	300 	97,500 		$20,366.92 	$0.00 	$20,366.92 		$0.209 	$0.000 	$0.209 
Jan-25	02/01/2025	02/15/2025	12/16/2024	01/15/2025		66,075 	66,375 	300 	300 	90,000 		$18,485.36 	$0.00 	$18,485.36 		$0.205 	$0.000 	$0.205 
Feb-25	03/01/2025	03/15/2025	01/15/2025	02/14/2025		66,375 	66,644 	269 	300 	80,700 		$17,084.41 	$0.00 	$17,084.41 		$0.212 	$0.000 	$0.212 
Mar-25	04/01/2025	04/15/2025	02/14/2025	03/14/2025		66,644 	66,909 	265 	300 	79,500 		$16,903.64 	$0.00 	$16,903.64 		$0.213 	$0.000 	$0.213 
Apr-25	05/01/2025	05/15/2025	03/14/2025	04/15/2025		66,909 	67,108 	199 	300 	59,700 		$13,920.97 	$0.00 	$13,920.97 		$0.233 	$0.000 	$0.233 
May-25	06/01/2025	06/15/2025	04/15/2025	05/15/2025		67,108 	67,490 	382 	300 	114,600 		$23,596.98 	$0.00 	$23,596.98 		$0.206 	$0.000 	$0.206 
Jun-25	07/01/2025	07/15/2025	05/15/2025	06/16/2025		67,490 	68,042 	552 	300 	165,600 		$30,919.38 	$0.00 	$30,919.38 		$0.187 	$0.000 	$0.187 
Jul-25	08/01/2025	08/15/2025	06/16/2025	07/15/2025		68,042 	68,612 	570 	300 	171,000 		$31,732.84 	$0.00 	$31,732.84 		$0.186 	$0.000 	$0.186 
Aug-25	09/01/2025	09/15/2025	07/15/2025	08/15/2025		67,658 	68,338 	680 	300 	204,000 		$38,410.36 	$0.00 	$38,410.36 		$0.188 	$0.000 	$0.188 
Sep-25	10/01/2025	10/15/2025	08/15/2025	09/15/2025				0 	300 	0 			$0.00 	$0.00 		$0.000 	$0.000 	$0.000 
Oct-25	11/01/2025	11/15/2025	09/15/2025	10/15/2025				0 	300 	0 			$0.00 	$0.00 		$0.000 	$0.000 	$0.000 
Nov-25	12/01/2025	12/15/2025	10/15/2025	11/15/2025				0 	300 	0 			$0.00 	$0.00 		$0.000 	$0.000 	$0.000 
Dec-25	01/01/2026	01/15/2026	11/15/2025	12/15/2025				0 	300 	0 			$0.00 	$0.00 		$0.000 	$0.000 	$0.000 
Jan-26	02/01/2026	02/15/2026	12/15/2025	01/15/2026				0 	300 	0 			$0.00 	$0.00 		$0.000 	$0.000 	$0.000 
																		
	Totals	61 						20,758 		7,684,279 		$1,021,254.80 	$0.00 	$1,021,254.80 		$0.124 	$0.000 	$0.124 
																		
												$798,732.80 						
												$399,366.40 					
